,StationName,AveTemp,AveTempSD,doy
0,USW00026451,17.8,11.5,1
1,USW00026451,17.7,11.6,2
2,USW00026451,17.6,11.7,3
3,USW00026451,17.5,11.8,4
4,USW00026451,17.4,11.9,5
5,USW00026451,17.3,12.0,6
6,USW00026451,17.2,12.0,7
7,USW00026451,17.1,12.1,8
8,USW00026451,17.0,12.2,9
9,USW00026451,17.0,12.3,10
10,USW00026451,16.9,12.4,11
11,USW00026451,16.9,12.4,12
12,USW00026451,16.8,12.5,13
13,USW00026451,16.8,12.6,14
14,USW00026451,16.8,12.6,15
15,USW00026451,16.7,12.7,16
16,USW00026451,16.7,12.7,17
17,USW00026451,16.7,12.8,18
18,USW00026451,16.7,12.8,19
19,USW00026451,16.8,12.8,20
20,USW00026451,16.8,12.9,21
21,USW00026451,16.8,12.9,22
22,USW00026451,16.9,12.9,23
23,USW00026451,17.0,12.9,24
24,USW00026451,17.0,12.9,25
25,USW00026451,17.1,12.9,26
26,USW00026451,17.2,12.9,27
27,USW00026451,17.3,12.9,28
28,USW00026451,17.4,12.8,29
29,USW00026451,17.5,12.8,30
30,USW00026451,17.7,12.7,31
31,USW00026451,17.8,12.6,32
32,USW00026451,17.9,12.6,33
33,USW00026451,18.1,12.5,34
34,USW00026451,18.2,12.4,35
35,USW00026451,18.4,12.4,36
36,USW00026451,18.6,12.3,37
37,USW00026451,18.7,12.2,38
38,USW00026451,18.9,12.1,39
39,USW00026451,19.1,12.0,40
40,USW00026451,19.3,11.9,41
41,USW00026451,19.5,11.8,42
42,USW00026451,19.7,11.7,43
43,USW00026451,19.9,11.6,44
44,USW00026451,20.0,11.4,45
45,USW00026451,20.2,11.3,46
46,USW00026451,20.4,11.2,47
47,USW00026451,20.6,11.0,48
48,USW00026451,20.8,10.9,49
49,USW00026451,21.0,10.7,50
50,USW00026451,21.2,10.6,51
51,USW00026451,21.4,10.5,52
52,USW00026451,21.6,10.4,53
53,USW00026451,21.8,10.2,54
54,USW00026451,22.0,10.1,55
55,USW00026451,22.2,10.0,56
56,USW00026451,22.4,9.9,57
57,USW00026451,22.6,9.8,58
58,USW00026451,22.8,9.8,59
59,USW00026451,22.8,9.8,60
60,USW00026451,23.0,9.7,61
61,USW00026451,23.2,9.6,62
62,USW00026451,23.4,9.5,63
63,USW00026451,23.6,9.4,64
64,USW00026451,23.9,9.3,65
65,USW00026451,24.1,9.2,66
66,USW00026451,24.3,9.1,67
67,USW00026451,24.5,8.9,68
68,USW00026451,24.7,8.8,69
69,USW00026451,24.9,8.7,70
70,USW00026451,25.1,8.6,71
71,USW00026451,25.4,8.5,72
72,USW00026451,25.6,8.4,73
73,USW00026451,25.8,8.3,74
74,USW00026451,26.1,8.1,75
75,USW00026451,26.3,8.0,76
76,USW00026451,26.6,8.0,77
77,USW00026451,26.8,7.9,78
78,USW00026451,27.1,7.8,79
